school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,class
GP,F,18,U,LE3,T,1,2,other,services,other,mother,1,3,0,no,yes,yes,no,yes,yes,no,yes,3,4,3,1,5,3,7,14,19,High
GP,F,17,U,GT3,T,4,4,other,services,reputation,father,1,2,0,no,yes,no,no,yes,no,no,no,2,4,3,2,1,3,0,13,12,High
GP,F,18,U,LE3,T,1,2,services,other,course,mother,4,2,1,no,yes,no,no,no,yes,yes,yes,4,4,3,2,1,2,2,10,19,High
GP,M,15,U,GT3,T,4,2,teacher,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,yes,4,4,3,1,1,4,0,10,15,High
GP,M,15,U,GT3,A,4,4,at_home,teacher,course,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,4,4,2,1,1,5,0,17,10,High
GP,F,18,U,GT3,T,2,2,at_home,at_home,course,mother,2,1,0,no,no,no,no,no,no,no,yes,5,4,3,2,1,2,2,15,11,High
GP,M,20,U,GT3,T,1,2,teacher,other,other,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,3,0,12,14,High
GP,F,15,U,GT3,T,2,2,other,other,course,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,3,3,3,2,1,4,0,15,16,High
MS,F,15,R,GT3,T,4,1,other,other,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,2,0,8,11,High
GP,F,15,U,LE3,A,2,4,teacher,other,other,mother,1,3,0,no,yes,yes,no,yes,no,yes,yes,3,3,2,2,3,3,2,7,9,High
GP,F,18,U,GT3,A,2,4,at_home,health,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,yes,5,4,3,5,1,2,0,12,15,High
GP,F,18,U,LE3,A,2,2,other,other,course,mother,4,3,0,no,yes,no,no,yes,yes,no,no,5,3,2,1,4,5,0,19,12,High
GP,F,16,U,LE3,A,1,2,health,services,other,mother,1,3,0,no,yes,no,yes,yes,yes,no,no,4,4,3,2,1,3,1,6,10,Low
MS,F,17,U,LE3,T,2,1,other,services,reputation,mother,3,2,3,no,no,no,no,yes,yes,no,yes,4,4,3,2,2,3,4,8,12,High
MS,M,17,U,GT3,T,3,1,services,other,reputation,father,2,2,0,no,yes,no,yes,no,no,yes,yes,4,3,3,1,4,2,3,11,9,High
GP,M,16,U,GT3,A,4,1,other,services,home,mother,4,2,0,yes,no,no,yes,yes,yes,no,yes,4,4,4,1,1,1,1,12,9,Low
GP,F,16,U,GT3,A,2,1,health,services,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,5,5,0,14,13,High
GP,F,18,U,GT3,T,3,1,other,other,course,father,2,2,0,no,yes,no,no,yes,no,yes,yes,4,2,2,1,3,3,4,10,14,High
MS,F,18,R,GT3,A,2,2,at_home,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,no,no,3,3,2,2,1,2,1,10,15,High
MS,F,18,R,GT3,T,4,2,teacher,teacher,course,father,3,2,0,no,yes,no,yes,yes,no,no,yes,4,4,2,1,5,5,5,13,14,High
MS,M,15,U,GT3,T,2,1,services,at_home,home,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,2,1,5,4,8,10,High
GP,M,18,U,LE3,A,1,1,teacher,other,other,father,2,1,1,no,no,yes,no,yes,no,no,no,4,5,2,2,1,3,6,5,10,High
MS,F,15,U,GT3,T,2,4,at_home,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,5,5,0,5,13,High
GP,M,19,U,GT3,T,0,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,5,3,1,1,3,0,15,8,High
MS,M,18,U,GT3,T,3,4,teacher,at_home,home,father,2,1,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,3,1,3,5,5,9,7,High
GP,M,18,U,LE3,T,1,2,services,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,3,3,12,19,High
MS,M,17,U,GT3,T,1,1,at_home,services,course,mother,3,2,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,5,4,6,4,7,High
GP,M,18,U,LE3,T,1,3,teacher,other,home,mother,2,1,0,no,yes,no,no,no,yes,yes,no,4,2,2,2,1,4,1,8,14,High
GP,F,18,U,LE3,T,0,4,services,other,course,mother,2,1,0,no,no,no,no,yes,no,no,yes,4,3,3,1,1,2,0,8,18,High
MS,F,15,U,LE3,T,2,2,other,other,other,father,2,2,0,no,yes,no,no,yes,no,yes,no,4,2,3,2,3,2,3,14,14,High
GP,F,16,U,LE3,T,1,4,at_home,services,home,mother,1,4,1,no,no,yes,yes,yes,yes,yes,yes,4,4,3,2,1,2,0,9,8,Low
MS,F,18,R,LE3,A,1,2,health,services,home,father,1,1,0,no,no,yes,no,yes,no,no,yes,4,4,2,1,3,5,4,9,11,High
GP,F,18,U,GT3,T,0,2,other,other,course,mother,2,2,0,no,no,no,no,yes,yes,no,yes,4,4,2,4,3,3,0,11,19,Low
GP,M,15,R,GT3,T,4,4,teacher,other,home,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,3,1,1,3,1,11,13,High
GP,F,19,U,LE3,T,0,1,at_home,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,5,4,2,1,1,4,2,11,12,High
GP,M,17,U,LE3,A,2,1,teacher,health,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,2,3,2,5,3,1,11,9,Low
GP,F,17,U,GT3,T,2,4,at_home,other,course,mother,2,3,0,yes,no,no,no,yes,no,yes,yes,4,4,3,1,5,1,0,10,7,Low
GP,F,17,U,GT3,T,0,2,other,other,reputation,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,5,4,4,1,3,5,7,8,16,High
GP,F,17,R,LE3,T,2,4,teacher,other,course,mother,3,3,0,no,no,no,no,yes,yes,no,yes,2,2,3,1,1,3,3,14,11,Low
MS,F,15,R,GT3,T,1,1,other,other,reputation,mother,2,2,0,no,no,no,yes,yes,no,yes,yes,5,4,3,1,3,3,4,12,7,High
GP,F,16,U,GT3,A,1,2,at_home,services,home,father,1,2,0,no,no,no,no,yes,no,no,yes,4,4,3,1,5,4,1,11,9,High
MS,F,15,U,LE3,T,0,1,health,at_home,course,father,2,2,0,yes,yes,no,no,yes,yes,yes,yes,3,2,4,1,5,3,1,13,15,Low
GP,F,18,U,GT3,A,2,2,health,other,course,other,2,3,0,no,no,no,yes,yes,yes,no,no,4,4,3,1,4,5,0,6,8,High
GP,M,16,U,GT3,T,4,2,at_home,services,other,father,3,3,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,3,5,0,10,9,High
GP,F,18,U,GT3,T,1,3,at_home,services,course,father,2,4,0,no,yes,no,no,yes,no,no,no,3,4,3,2,1,5,2,11,16,Low
GP,M,15,U,GT3,T,3,2,at_home,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,2,1,1,3,0,14,6,Low
GP,M,15,U,GT3,T,1,2,health,services,course,father,2,1,0,no,no,no,no,yes,no,yes,no,4,4,2,1,1,3,0,15,7,High
MS,M,16,U,GT3,T,2,1,health,other,reputation,father,2,3,0,no,no,yes,no,yes,yes,yes,yes,5,5,3,1,1,5,1,9,9,High
GP,F,15,U,LE3,T,4,1,other,other,course,mother,2,1,0,no,yes,no,yes,no,yes,no,yes,1,2,2,2,2,3,5,7,18,Low
MS,F,16,U,GT3,T,4,2,other,services,home,mother,2,4,0,no,no,no,no,no,yes,yes,no,4,4,2,1,3,5,0,16,19,High
MS,F,15,U,LE3,T,2,2,other,services,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,4,4,3,1,4,5,5,8,18,Low
MS,F,18,U,GT3,T,2,1,teacher,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,2,1,4,4,2,14,12,Low
GP,F,15,U,GT3,T,1,4,other,other,home,mother,2,3,0,no,yes,no,yes,no,yes,no,yes,4,4,2,1,5,3,1,7,14,Low
GP,F,16,U,GT3,T,4,2,services,services,course,mother,2,2,0,yes,no,no,no,yes,no,no,yes,4,2,3,1,1,3,0,11,10,High
GP,F,18,R,LE3,T,4,1,other,other,reputation,mother,1,1,2,yes,no,no,no,yes,yes,no,yes,4,3,3,1,3,2,0,17,15,High
MS,F,16,U,GT3,T,1,1,other,other,course,mother,2,1,0,no,yes,yes,no,yes,yes,no,yes,5,4,3,1,2,5,0,13,15,High
GP,F,18,U,LE3,A,3,3,at_home,services,course,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,2,1,2,3,4,7,12,High
MS,F,15,U,GT3,A,4,2,other,health,course,father,2,3,3,no,yes,no,no,yes,yes,no,yes,4,4,3,1,4,3,0,14,12,High
GP,M,17,U,GT3,T,1,4,teacher,other,other,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,3,3,0,18,8,Low
MS,M,18,R,GT3,T,2,2,teacher,other,course,father,3,2,0,no,no,no,no,yes,yes,yes,yes,4,4,2,2,1,3,0,17,16,High
MS,M,17,U,GT3,T,3,2,services,other,course,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,15,10,High
GP,M,18,U,GT3,A,2,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,5,4,3,1,3,5,0,13,15,High
GP,F,18,U,GT3,A,4,2,health,at_home,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,2,3,1,13,17,High
GP,F,18,U,GT3,T,1,3,teacher,teacher,home,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,3,4,2,1,1,5,0,11,10,Low
MS,F,18,U,LE3,T,1,2,teacher,other,other,mother,2,3,0,no,yes,yes,no,yes,yes,yes,yes,4,5,4,1,1,5,0,11,17,Low
MS,F,16,U,GT3,T,3,2,services,other,reputation,mother,2,2,1,no,yes,no,no,yes,yes,no,yes,4,2,3,2,1,3,1,13,15,High
MS,F,15,U,LE3,T,2,1,teacher,other,course,mother,2,3,0,no,yes,no,no,yes,yes,no,no,4,2,3,1,3,3,1,19,19,High
GP,M,16,R,LE3,T,2,2,services,other,home,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,5,4,3,1,3,5,0,10,10,High
MS,F,17,U,GT3,T,4,2,teacher,other,home,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,4,3,1,1,5,0,18,19,Low
MS,F,18,U,GT3,T,1,1,teacher,other,reputation,mother,2,1,0,no,no,no,no,no,yes,yes,no,4,2,3,2,1,5,0,8,14,High
GP,F,18,R,LE3,A,1,1,other,services,course,mother,2,3,1,no,no,no,no,yes,yes,yes,yes,4,4,4,1,5,4,1,13,11,High
GP,F,16,U,LE3,T,1,2,teacher,teacher,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,2,1,4,1,7,11,High
GP,F,16,U,LE3,T,1,2,services,other,course,father,2,2,0,no,no,no,no,yes,yes,yes,yes,3,2,2,2,1,5,3,10,17,High
GP,F,16,R,LE3,T,1,1,other,other,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,4,4,2,2,1,4,2,6,8,High
MS,F,18,U,LE3,T,1,1,teacher,other,other,mother,2,3,1,no,no,no,no,yes,yes,yes,no,4,4,2,1,1,3,10,17,12,High
MS,F,15,U,LE3,A,4,4,at_home,services,course,mother,1,3,0,no,no,no,yes,no,yes,yes,yes,4,4,3,2,1,2,0,15,11,Low
GP,M,16,U,GT3,T,0,2,teacher,services,home,mother,2,1,3,no,yes,no,no,yes,yes,no,yes,5,4,3,1,3,4,0,6,10,High
MS,F,18,R,LE3,T,2,2,other,services,reputation,father,2,2,0,no,no,yes,yes,no,no,yes,yes,3,4,5,1,1,3,2,11,12,High
GP,M,15,R,GT3,T,2,2,other,other,reputation,father,2,1,0,no,yes,no,no,yes,no,yes,yes,4,4,3,2,1,2,1,6,12,Low
MS,M,18,U,GT3,T,1,2,teacher,services,home,mother,2,2,1,no,yes,no,no,yes,yes,no,no,4,4,2,2,1,3,0,9,14,Low
GP,F,18,U,LE3,A,2,2,at_home,services,reputation,mother,2,2,0,no,no,no,no,yes,no,yes,yes,4,4,3,2,4,5,3,13,10,Low
GP,F,20,U,GT3,T,0,1,at_home,other,course,mother,1,2,0,no,yes,no,yes,yes,no,no,yes,5,4,3,1,3,3,0,4,11,High
MS,F,15,U,LE3,T,1,2,at_home,other,reputation,father,2,3,3,no,yes,no,no,yes,yes,yes,yes,3,4,3,1,1,3,4,13,13,High
GP,F,17,U,GT3,T,2,1,other,services,reputation,other,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,5,2,3,12,12,Low
GP,M,15,U,GT3,T,3,1,other,services,course,father,2,3,0,no,yes,no,no,yes,no,no,yes,5,3,2,1,1,5,2,15,7,High
MS,F,15,U,GT3,T,4,2,at_home,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,1,5,0,9,19,Low
GP,F,18,R,LE3,A,2,2,other,other,course,mother,2,3,0,no,yes,no,no,yes,yes,no,yes,4,4,3,1,1,2,2,8,13,High
GP,F,17,U,GT3,T,1,1,at_home,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,2,5,5,3,19,19,High
GP,M,16,U,LE3,T,3,2,other,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,3,1,7,13,Low
GP,F,18,U,LE3,A,2,2,other,other,home,mother,3,2,0,no,no,no,no,yes,yes,no,yes,2,3,3,2,1,3,0,9,14,High
MS,M,18,U,GT3,T,2,2,teacher,other,reputation,mother,2,4,0,no,no,yes,no,yes,yes,yes,no,5,4,5,2,2,2,0,13,19,Low
MS,F,15,R,LE3,T,1,4,teacher,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,1,5,10,7,8,Low
GP,M,18,U,LE3,T,2,2,other,other,course,father,1,2,0,no,no,no,yes,no,yes,no,yes,5,4,2,1,1,3,7,12,10,Low
GP,F,15,U,GT3,T,1,2,services,at_home,reputation,mother,2,3,0,no,no,no,yes,yes,no,yes,yes,4,4,2,3,3,5,5,17,9,Low
GP,M,17,U,GT3,T,4,2,services,other,course,father,2,3,0,no,no,no,yes,yes,yes,no,no,4,3,3,2,4,5,0,10,19,High
GP,F,18,U,LE3,T,1,1,at_home,other,course,mother,2,3,0,no,yes,yes,no,yes,yes,yes,yes,4,4,3,2,1,2,0,10,17,High
GP,F,16,U,LE3,T,2,2,teacher,other,course,father,1,1,0,no,no,no,yes,yes,no,no,yes,4,2,3,2,4,2,0,16,14,Low
MS,F,18,U,LE3,T,4,2,teacher,services,other,mother,2,2,1,no,no,no,yes,yes,no,yes,yes,3,4,4,1,3,3,0,6,11,High
MS,F,18,U,LE3,T,0,2,at_home,health,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,3,4,2,1,4,3,1,7,13,High
MS,F,18,U,LE3,T,1,2,other,other,home,mother,2,4,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,1,5,4,2,15,19,Low
GP,F,16,R,GT3,T,2,2,at_home,other,home,mother,2,1,0,yes,no,yes,no,yes,no,yes,no,4,4,3,1,3,2,6,13,11,Low
GP,F,17,U,LE3,T,4,2,other,teacher,course,father,2,3,0,yes,no,no,no,yes,no,no,yes,5,3,2,2,3,3,1,13,10,High
MS,F,18,U,LE3,T,2,2,at_home,other,home,mother,2,2,0,no,yes,no,yes,yes,no,yes,yes,4,2,4,1,3,5,0,10,14,High
GP,F,15,U,LE3,A,0,1,other,services,home,mother,2,3,3,no,no,no,no,yes,yes,yes,yes,4,4,2,2,2,1,1,4,17,High
GP,F,16,R,GT3,T,1,1,other,other,other,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,4,5,1,1,3,3,0,12,14,High
GP,F,18,U,GT3,T,2,2,services,services,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,5,0,10,19,High
GP,F,16,U,LE3,T,3,4,health,services,course,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3,2,3,1,1,3,0,9,5,High
MS,F,18,R,GT3,T,1,3,at_home,services,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,2,3,4,2,13,13,High
MS,F,17,U,LE3,A,1,2,at_home,other,home,mother,4,2,0,no,no,no,no,yes,yes,no,no,4,4,3,1,3,4,0,9,9,Low
MS,M,16,R,LE3,A,2,1,health,other,course,father,2,3,0,no,yes,no,no,yes,yes,yes,no,3,4,3,2,3,2,0,8,16,High
